session.code,participant.code,participant.payoff,subsession.round_number,player.id_in_group,player.infected,player.cumulative_earnings,player.my_endowment,player.contribution,player.actual_payment,player.payoff,player.transmission_chance,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,group.total_contribution,group.total_infections,group.end_total_infections,group.total_earnings,group.lockdown,group.lockdown_number,group.number_of_players,cumulativeEarnings,group.condition,participant.time_started,player.age,player.gender,player.covid_positive,player.location,player.state,player.crt_widget,player.crt_lake
064qyher,22e0v4kl,1920,1,5,0,90,100,1,10,90,0,3,1,2,3,4,23,1,1,480,0,0,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,2,5,0,90,100,NA,20,0,0,NA,NA,NA,NA,NA,26,1,1,310,0,0,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,3,5,0,90,100,NA,30,0,0,NA,NA,NA,NA,NA,29,1,1,460,0,0,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,4,5,1,180,100,1,10,90,0.75,4,2,1,0,0,24,1,6,540,0,0,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,5,5,1,210,100,NA,NA,30,NA,NA,NA,NA,NA,NA,0,6,6,300,1,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,6,5,0,240,100,NA,NA,30,NA,NA,NA,NA,NA,NA,0,6,1,300,1,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,7,5,0,300,100,4,40,60,0,3,2,1,0,0,26,1,1,620,0,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,8,5,0,390,100,1,10,90,0,3,2,4,1,0,23,1,1,650,0,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,9,5,0,480,100,1,10,90,0.19,3,1,1,0,0,25,1,3,630,0,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,10,5,0,570,100,1,10,90,0.75,2,2,1,0,0,24,3,5,580,0,1,8,1920,Equality,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,11,5,1,624,60,1,6,54,0.75,3,2,1,0,0,27,5,6,506,0,1,8,1920,Low Gini,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,12,5,1,642,60,NA,NA,18,NA,NA,NA,NA,NA,NA,0,6,6,300,1,2,8,1920,Low Gini,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,13,5,0,660,60,NA,NA,18,NA,NA,NA,NA,NA,NA,0,6,1,300,1,2,8,1920,Low Gini,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,14,5,0,714,60,1,6,54,0,2,1,0,0,0,19,1,1,530,0,2,8,1920,Low Gini,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
064qyher,22e0v4kl,1920,15,5,0,762,60,2,12,48,0,3,2,1,0,0,24,1,1,534,0,2,8,1920,Low Gini,2020-11-10T01:48:01Z,26,Female,0,Australia,NSW,100,24
