session.code,participant.code,participant.payoff,subsession.round_number,player.id_in_group,player.infected,player.timeout,player.cumulative_earnings,player.others_prediction,player.contribution,player.others_contribution_percentage,player.actual_payment,player.payoff,player.transmission_chance,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,group.total_contribution,group.total_infections,group.end_total_infections,group.total_earnings,group.lockdown,group.lockdown_number,group.lockdown_cost,cumulativeEarnings,lastRoundOthers,player.age,player.gender,player.covid_positive,player.location,player.attention_check,Order
l96mug06,01zo9tr5,2810,1,10,0,0,90,2,1,50,10,90,0.19,1,2,2,3,3,21,1,1,630,0,0,60,2810,NA,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,2,10,1,0,190,1,0,55,0,100,0.25,0,0,1,1,2,22,1,4,720,0,0,60,2810,50,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,3,10,1,0,270,3,2,85,20,80,0,2,2,3,3,3,36,4,4,680,0,0,60,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,4,10,1,0,350,3,2,80,20,80,0,1,1,2,2,3,34,4,7,700,0,0,60,2810,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,5,10,1,0,390,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,7,440,1,1,60,2810,80,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,6,10,0,0,430,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,1,440,1,1,60,2810,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,7,10,0,0,530,1,0,55,0,100,0.5,0,1,1,1,2,22,1,1,820,0,1,60,2810,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,8,10,1,0,610,2,2,52.5,20,80,0.38,1,1,2,2,3,23,1,4,810,0,1,60,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,9,10,0,0,690,3,2,77.5,20,80,0.12,2,2,3,3,3,33,4,1,710,0,1,60,2810,52.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,10,10,0,0,780,0,1,55,10,90,0.56,0,1,1,2,2,23,1,4,810,0,1,60,2810,77.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,11,10,0,0,860,2,2,80,20,80,0.5,1,1,2,2,3,34,4,4,700,0,1,60,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,12,10,0,0,930,3,3,77.5,30,70,0.25,1,1,2,2,3,34,4,5,700,0,1,60,2810,80,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,13,10,0,0,1010,3,2,85,20,80,0.5,1,2,2,3,3,36,5,5,680,0,1,60,2810,77.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,14,10,0,0,1080,2,3,85,30,70,0.25,1,1,2,3,3,37,5,5,670,0,1,60,2810,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,15,10,1,0,1170,2,1,82.5,10,90,0.75,1,1,2,2,3,34,5,6,700,0,1,60,2810,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,16,10,1,0,1210,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,6,440,1,2,60,2810,82.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,17,10,0,0,1250,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,1,440,1,2,60,2810,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,18,10,0,0,1340,1,1,60,10,90,0,0,0,1,1,2,25,1,1,790,0,2,60,2810,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,19,10,0,0,1420,1,2,57.5,20,80,0,0,0,1,2,2,25,1,1,790,0,2,60,2810,60,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,20,10,0,0,1510,1,1,57.5,10,90,0,1,1,2,2,2,24,1,1,800,0,2,60,2810,57.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,21,10,0,0,1580,2,3,55,30,70,0,1,2,2,3,3,25,1,1,790,0,2,90,2810,57.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,22,10,0,0,1670,1,1,55,10,90,0,1,2,2,3,3,23,1,1,810,0,2,90,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,23,10,0,0,1750,2,2,52.5,20,80,0,1,2,2,3,3,23,1,1,810,0,2,90,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,24,10,1,0,1830,1,2,55,20,80,0.12,1,1,2,2,3,24,1,3,800,0,2,90,2810,52.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,25,10,1,0,1900,2,3,75,30,70,0,1,2,2,3,3,33,3,4,710,0,2,90,2810,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,26,10,1,0,1980,3,2,90,20,80,0,2,2,3,3,3,38,4,4,660,0,2,90,2810,75,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,27,10,1,0,2060,1,2,85,20,80,0,1,1,2,2,3,36,4,5,680,0,2,90,2810,90,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,28,10,1,0,2130,2,3,90,30,70,0,1,2,2,2,2,39,5,5,650,0,2,90,2810,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,29,10,1,0,2210,3,2,87.5,20,80,0,2,2,3,3,4,37,5,5,670,0,2,90,2810,90,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,30,10,1,0,2300,3,1,85,10,90,0,2,2,3,3,4,35,5,6,690,0,2,90,2810,87.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,31,10,1,0,2310,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,6,110,1,3,90,2810,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,32,10,0,0,2320,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,1,110,1,3,90,2810,0,43,Male,0,Scotland,Chicago,Low Cost First
