participant.id_in_session,participant.code,participant.time_started,participant.payoff,player.id_in_group,player.infected,player.cumulative_earnings,player.actual_payment,player.transmission_chance,player.contribution,player.others_contribution_percentage,player.timeout,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,player.others_prediction,player.payoff,group.id_in_subsession,group.total_contribution,group.contribution_percentage,group.total_infections,group.end_total_infections,group.total_earnings,group.average_earnings,group.lockdown,group.lockdown_round,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,subsession.round_number,session.code,session.is_demo
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,1,0,,0,4,65,1,,,,,,,0,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,0,70,30,0,3,67.5,0,4,4,3,2,0,1,70,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,70,30,0,3,67.5,0,2,2,3,3,4,3,70,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,65,1,,,,,,,0,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,80,20,0,2,70,0,3,3,3,3,3,2,80,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,0,80,20,0,2,70,0,3,3,2,1,0,1,80,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,90,10,0,1,72.5,0,0,2,2,4,4,1,90,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,65,1,,,,,,,0,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,0,10,0,1,72.5,0,,,,,,,0,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,0,60,40,0,4,65,0,1,1,3,4,4,4,60,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,0,80,20,0,2,70,0,3,3,2,0,1,2,80,2,30,68.18,1,1,530,48,0,0,0,60,0,1,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,1,0,,0,4,47.5,1,,,,,,,0,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,0,160,10,0,1,55,0,4,4,2,2,2,2,90,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,150,20,0,2,52.5,0,1,2,3,3,4,2,80,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,47.5,1,,,,,,,0,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,150,30,0,3,50,0,3,3,3,3,3,3,70,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,0,180,0,0,0,57.5,0,3,3,2,1,0,2,100,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,190,0,0,0,57.5,0,0,1,2,3,4,1,100,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,47.5,1,,,,,,,0,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,0,0,0,0,57.5,0,,,,,,0,0,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,0,130,30,0,3,50,0,1,1,3,3,4,3,70,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,0,160,20,0,2,52.5,0,3,3,2,2,1,2,80,2,23,52.27,1,1,590,54,0,0,0,60,0,2,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,1,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,0,240,20,0,2,60,0,4,4,1,1,0,1,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,150,,0,4,55,1,1,2,3,3,4,2,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
5,wfpzt5z0,2021-01-20 11:35:20.743958+00:00,2120,10,0,230,20,0,2,60,0,2,2,2,1,1,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
6,nwr8ut6o,2021-01-20 11:35:20.838229+00:00,2340,2,0,260,20,0,2,60,0,3,3,2,1,0,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
7,wv2ypvol,2021-01-20 11:35:20.572245+00:00,2750,5,0,290,0,0,0,65,0,0,1,1,3,4,1,100,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
8,hhasem8p,2021-01-20 11:35:20.618045+00:00,270,1,0,0,,0,4,55,1,,,,,,,0,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
9,ri3991uw,2021-01-20 11:35:21.099646+00:00,1980,7,0,100,0,0,0,65,0,0,0,0,0,0,0,100,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
10,7fuuovrt,2021-01-20 11:35:21.553918+00:00,2120,6,0,210,20,0,2,60,0,0,1,2,3,4,3,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
11,mhnrlki6,2021-01-20 11:35:22.106304+00:00,2460,11,0,240,20,0,2,60,0,3,3,2,2,1,2,80,2,26,59.09,1,1,600,55,0,0,0,60,0,3,ui73b4cc,0
1,xmo6y9j4,2021-01-20 11:35:20.286495+00:00,270,4,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
2,ics99vz6,2021-01-20 11:35:20.442093+00:00,2580,9,1,320,20,0.25,2,55,0,4,4,2,1,0,1,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
3,ca56z2zv,2021-01-20 11:35:20.378888+00:00,2410,8,0,230,20,0.25,2,55,0,1,2,3,3,4,2,80,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
4,u6y8sx1v,2021-01-20 11:35:20.489940+00:00,270,3,0,0,,0,4,50,1,,,,,,,0,2,24,54.55,1,3,680,62,0,0,0,60,1,4,ui73b4cc,0
