participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.age,player.gender,player.covid_positive,player.location,player.state,player.reading,player.Prolific_ID,player.crt_widget,player.crt_lake,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6h45g9s9,599ddb63bd442800019b91e2,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.237827+00:00,1,,,1898,1,,28,Female,0,Australia,NSW,0,599ddb63bd442800019b91e2,5,47,0,1,1,064qyher,,,,,0
2,4nxcw6gq,5f684d3e12a7bb000aa0777a,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.302658+00:00,1,,,1966,2,,31,Male,0,Australia,NSW,0,5f684d3e12a7bb000aa0777a,100,47,0,1,1,064qyher,,,,,0
3,51fv3lnn,5f86bb9a7b146c0158692e47,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.344107+00:00,1,,,348,3,,18,Male,0,Australia,VIC,0,5f86bb9a7b146c0158692e47,100,24,0,1,1,064qyher,,,,,0
4,slo2zigl,58c4f54f93499d0001346edd,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.392138+00:00,1,,,3410,4,,31,Male,0,Australia,VIC,0,58c4f54f93499d0001346edd,0,0,0,1,1,064qyher,,,,,0
5,cgoidu7g,5f57293333c15219a0bc1073,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.444022+00:00,1,,,3762,5,,27,Male,0,Australia,SA,0,5f57293333c15219a0bc1073,0,0,0,1,1,064qyher,,,,,0
6,xvhqncfd,5edf8803c008532459792282,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.537206+00:00,1,,,1778,6,,36,Male,0,Australia,NSW,0,5edf8803c008532459792282,5,24,0,1,1,064qyher,,,,,0
7,wp01snc8,5e40e48a0b31a732192c560b,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.581639+00:00,1,,,1564,7,,23,Male,0,Australia,NSW,0,5e40e48a0b31a732192c560b,5,47,0,1,1,064qyher,,,,,0
8,22e0v4kl,5efad72479cf2c922a560972,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:01.497080+00:00,1,,,1920,8,,26,Female,0,Australia,NSW,0,5efad72479cf2c922a560972,100,24,0,1,1,064qyher,,,,,0
9,b27rh4lf,5e66cea2c302df44ab87c5f6,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:00.623093+00:00,1,,,348,9,,0,,0,,,0,,0,0,0,1,1,064qyher,,,,,0
10,zn7b2n8k,5e3842b92fdfd2000fc286a4,0,405,405,payment_info,PaymentInfo,2020-11-10 01:48:01.118383+00:00,1,,,1692,10,,31,Female,0,Australia,QLD,0,5e3842b92fdfd2000fc286a4,100,24,0,1,1,064qyher,,,,,0
1,285x6wzh,5ee1da7a1d622e2092c1b056,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.592447+00:00,1,,,2086,1,,36,Male,0,Australia,NSW,0,5ee1da7a1d622e2092c1b056,100,24,0,1,1,gfl6o2b9,,,,,0
2,k9khwofo,5f33a20959d6ab1b598a5034,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.683715+00:00,1,,,2510,2,,38,Male,0,Australia,NSW,0,5f33a20959d6ab1b598a5034,0,0,0,1,1,gfl6o2b9,,,,,0
3,w8zp0m7k,5d910477c6086600192dd2d2,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.730510+00:00,1,,,3026,3,,31,Male,0,Australia,VIC,0,5d910477c6086600192dd2d2,5,47,0,1,1,gfl6o2b9,,,,,0
4,jce9lqop,563da4c4ef3f15000bb92b64,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.647600+00:00,1,,,2716,4,,35,Female,0,Australia,NSW,0,563da4c4ef3f15000bb92b64,5,47,0,1,1,gfl6o2b9,,,,,0
5,x0z5xwjx,5cba90cdc73d690019202268,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.806678+00:00,1,,,252,5,,0,,0,,,0,,0,0,0,1,1,gfl6o2b9,,,,,0
6,82lrodmk,5aeaa3a5b00c2a0001960604,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.771112+00:00,1,,,1684,6,,31,Male,0,Australia,QLD,0,5aeaa3a5b00c2a0001960604,0,0,0,1,1,gfl6o2b9,,,,,0
7,5qyihprv,5cca79339774840012c90992,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:47.841559+00:00,1,,,2484,7,,32,Male,0,Australia,NSW,0,5cca79339774840012c90992,5,47,0,1,1,gfl6o2b9,,,,,0
8,3w8wuue3,5e68c92e07851716cc24cd34,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:48.228408+00:00,1,,,1598,8,,36,Male,0,Australia,SA,0,5e68c92e07851716cc24cd34,5,47,0,1,1,gfl6o2b9,,,,,0
9,kttbudcw,593e307c48df7100015e518c,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:48.569025+00:00,1,,,2712,9,,26,Female,0,Australia,NSW,0,593e307c48df7100015e518c,100,47,0,1,1,gfl6o2b9,,,,,0
10,wso9jpzr,5f083416262db9000a5eab32,0,405,405,payment_info,PaymentInfo,2020-11-10 03:31:48.628611+00:00,1,,,3388,10,,25,Female,0,Australia,QLD,0,5f083416262db9000a5eab32,100,47,0,1,1,gfl6o2b9,,,,,0
1,r9idawzg,5f2911774dfa292c6c2cd767,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:12.522075+00:00,1,,,3096,1,,20,Female,0,Australia,QLD,0,5f2911774dfa292c6c2cd767,5,12,0,1,1,k9evczy1,,,,,0
2,b2r7p37s,5ef0a2466db5545ef92f66c9,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:13.087059+00:00,1,,,3972,2,,20,Male,0,Australia,VIC,0,5ef0a2466db5545ef92f66c9,100,24,0,1,1,k9evczy1,,,,,0
3,4oyv00vx,5f2ff1c0b72ca60533291488,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:12.728876+00:00,1,,,1478,3,,29,Female,0,Australia,NSW,0,5f2ff1c0b72ca60533291488,5,47,0,1,1,k9evczy1,,,,,0
4,40b83vzm,5c5108e39c016f0001f53d82,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:12.783303+00:00,1,,,1488,4,,0,,0,,,0,,0,0,0,1,1,k9evczy1,,,,,0
5,nadhbaty,5c259ddd0091e40001c9bcc0,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:12.835022+00:00,1,,,1272,5,,41,Male,0,Australia,VIC,0,5c259ddd0091e40001c9bcc0,100,24,0,1,1,k9evczy1,,,,,0
6,erm4b4ng,5f01a18e1060612db8dbf0d3,0,405,405,payment_info,PaymentInfo,2020-11-10 04:34:12.895122+00:00,1,,,288,6,,27,Female,0,Australia,VIC,0,5f01a18e1060612db8dbf0d3,100,7,0,1,1,k9evczy1,,,,,0
7,afin3l5u,5c3c1728bc64440001349812,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:13.222690+00:00,1,,,1630,7,,42,Male,0,Australia,QLD,0,5c3c1728bc64440001349812,0,0,0,1,1,k9evczy1,,,,,0
8,703hekrj,5e738bf88934222f183472e5,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:13.051859+00:00,1,,,1138,8,,30,Female,0,Australia,NSW,0,5e738bf88934222f183472e5,100,24,0,1,1,k9evczy1,,,,,0
9,7b16xoyr,5b02ad3ea496b300013d6b3a,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:13.171924+00:00,1,,,3940,9,,26,Male,0,Australia,NSW,0,5b02ad3ea496b300013d6b3a,5,47,0,1,1,k9evczy1,,,,,0
10,thgvra0n,5d1e1b78cbc37700181325db,0,406,405,payment_info,PaymentInfo,2020-11-10 04:34:13.123707+00:00,1,,,3686,10,,28,Male,0,Australia,NSW,0,5d1e1b78cbc37700181325db,5,24,0,1,1,k9evczy1,,,,,0
1,zwfobxcv,5f50e3dff5bba92820e7029f,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.202879+00:00,1,,,2784,1,,25,Male,0,Australia,VIC,0,5f50e3dff5bba92820e7029f,100,24,0,1,1,p0hi5zjy,,,,,0
2,k9gh1vje,5eea1282f418d6071758f131,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.604405+00:00,1,,,2740,2,,36,Male,0,Australia,QLD,0,5eea1282f418d6071758f131,5,8,0,1,1,p0hi5zjy,,,,,0
