session.code,participant.code,participant.payoff,subsession.round_number,player.id_in_group,player.infected,player.timeout,player.cumulative_earnings,player.others_prediction,player.contribution,player.others_contribution_percentage,player.actual_payment,player.payoff,player.transmission_chance,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,group.total_contribution,group.total_infections,group.end_total_infections,group.total_earnings,group.lockdown,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,nTimeout,lastRoundOthers,player.age,player.gender,player.covid_positive,player.location,player.attention_check,Order
l96mug06,01zo9tr5,2810,1,10,0,0,90,20,10,50,10,90,0.19,10,20,20,30,30,21,1,1,630,0,0,60,0,0,NA,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,2,10,1,0,190,10,0,55,0,100,0.25,0,0,10,10,20,22,1,4,720,0,0,60,0,0,50,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,3,10,1,0,270,30,20,85,20,80,0,20,20,30,30,30,36,4,4,680,0,0,60,0,0,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,4,10,1,0,350,30,20,80,20,80,0,10,10,20,20,30,34,4,7,700,0,0,60,0,0,85,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,5,10,1,0,390,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,7,440,1,1,60,0,0,80,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,6,10,0,0,430,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,1,440,1,1,60,0,0,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,7,10,0,0,530,10,0,55,0,100,0.5,0,10,10,10,20,22,1,1,820,0,1,60,0,0,0,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,8,10,1,0,610,20,20,52.5,20,80,0.38,10,10,20,20,30,23,1,4,810,0,1,60,0,0,55,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,9,10,0,0,690,30,20,77.5,20,80,0.12,20,20,30,30,30,33,4,1,710,0,1,60,1,0,52.5,43,Male,0,Scotland,Chicago,Low Cost First
l96mug06,01zo9tr5,2810,10,10,0,0,780,0,10,55,10,90,0.56,0,10,10,20,20,23,1,4,810,0,1,60,0,0,77.5,43,Male,0,Scotland,Chicago,Low Cost First
